row_id,Class
0,NORMAL
1,NORMAL
2,NORMAL
3,NORMAL
4,NORMAL
5,NORMAL
6,NORMAL
7,NORMAL
8,NORMAL
9,NORMAL
10,NORMAL
11,NORMAL
12,NORMAL
13,NORMAL
14,NORMAL
15,NORMAL
16,NORMAL
17,NORMAL
18,NORMAL
19,NORMAL
20,NORMAL
21,NORMAL
22,NORMAL
23,NORMAL
24,NORMAL
25,NORMAL
26,NORMAL
27,NORMAL
28,NORMAL
29,NORMAL
30,NORMAL
31,NORMAL
32,NORMAL
33,NORMAL
34,NORMAL
35,NORMAL
36,NORMAL
37,NORMAL
38,NORMAL
39,NORMAL
40,NORMAL
41,NORMAL
42,NORMAL
43,NORMAL
44,NORMAL
45,NORMAL
46,NORMAL
47,NORMAL
48,NORMAL
49,NORMAL
50,NORMAL
51,NORMAL
52,NORMAL
53,NORMAL
54,NORMAL
55,NORMAL
56,NORMAL
57,NORMAL
58,NORMAL
59,NORMAL
60,NORMAL
61,NORMAL
62,NORMAL
63,NORMAL
64,NORMAL
65,NORMAL
66,NORMAL
67,NORMAL
68,NORMAL
69,NORMAL
70,NORMAL
71,NORMAL
72,NORMAL
73,NORMAL
74,NORMAL
75,NORMAL
76,NORMAL
77,NORMAL
78,NORMAL
79,NORMAL
80,NORMAL
81,NORMAL
82,NORMAL
83,NORMAL
84,NORMAL
85,NORMAL
86,NORMAL
87,NORMAL
88,NORMAL
89,NORMAL
90,NORMAL
91,NORMAL
92,NORMAL
93,NORMAL
94,NORMAL
95,NORMAL
96,NORMAL
97,NORMAL
98,NORMAL
99,NORMAL
100,NORMAL
101,NORMAL
102,NORMAL
103,NORMAL
104,NORMAL
105,NORMAL
106,NORMAL
107,NORMAL
108,NORMAL
109,NORMAL
110,NORMAL
111,NORMAL
112,NORMAL
113,NORMAL
114,NORMAL
115,NORMAL
116,NORMAL
117,NORMAL
118,NORMAL
119,NORMAL
120,NORMAL
121,NORMAL
122,NORMAL
123,NORMAL
124,NORMAL
125,NORMAL
126,NORMAL
127,NORMAL
128,NORMAL
129,NORMAL
130,NORMAL
131,NORMAL
132,NORMAL
133,NORMAL
134,NORMAL
135,NORMAL
136,NORMAL
137,NORMAL
138,NORMAL
139,NORMAL
140,NORMAL
141,NORMAL
142,NORMAL
143,NORMAL
144,NORMAL
145,NORMAL
146,NORMAL
147,NORMAL
148,NORMAL
149,NORMAL
150,NORMAL
151,NORMAL
152,NORMAL
153,NORMAL
154,NORMAL
155,NORMAL
156,NORMAL
157,NORMAL
158,NORMAL
159,NORMAL
160,NORMAL
161,NORMAL
162,NORMAL
163,NORMAL
164,NORMAL
165,NORMAL
166,NORMAL
167,NORMAL
168,NORMAL
169,NORMAL
170,NORMAL
171,NORMAL
172,NORMAL
173,NORMAL
174,NORMAL
175,NORMAL
176,NORMAL
177,NORMAL
178,NORMAL
179,NORMAL
180,NORMAL
181,NORMAL
182,NORMAL
183,NORMAL
184,NORMAL
185,NORMAL
186,NORMAL
187,NORMAL
188,NORMAL
189,NORMAL
190,NORMAL
191,NORMAL
192,NORMAL
193,NORMAL
194,NORMAL
195,NORMAL
196,NORMAL
197,NORMAL
198,NORMAL
199,NORMAL
200,NORMAL
201,NORMAL
202,NORMAL
203,NORMAL
204,NORMAL
205,NORMAL
206,NORMAL
207,NORMAL
208,NORMAL
209,NORMAL
210,NORMAL
211,NORMAL
212,NORMAL
213,NORMAL
214,NORMAL
215,NORMAL
216,NORMAL
217,NORMAL
218,NORMAL
219,NORMAL
220,NORMAL
221,NORMAL
222,NORMAL
223,NORMAL
224,NORMAL
225,NORMAL
226,NORMAL
227,NORMAL
228,NORMAL
229,NORMAL
230,NORMAL
231,NORMAL
232,NORMAL
233,NORMAL
234,NORMAL
